order_id,order_date,state,region,platform,category,product_name,unit_price,quantity,discount_pct,total_amount,payment_method,customer_age,customer_gender,customer_segment,rating,delivery_days,returned
ORD-100027,2023-02-09,Abuja,North-Central,Flutterwave Store,Fashion,Men Agbada Set,31876.93,1,0,31876.93,POS,24.0,Male,VIP,4.0,5.0,False
ORD-100028,2023-02-10,Enugu,South-East,Flutterwave Store,Fashion,Ankara Midi Dress,31535.31,1,15,26805.01,Pay on Delivery,41.0,Male,New,1.0,4.0,True
ORD-100029,2023-02-12,Rivers,South-South,Jiji,Fashion,Female Aso-Oke,37459.81,3,15,95522.52,Pay on Delivery,31.0,Female,VIP,4.0,12.0,True
ORD-100030,2023-02-13,Oyo,South-West,Konga,Electronics,Scanfrost Refrigerator,192436.66,2,15,327142.32,USSD,20.0,Female,Regular,1.0,1.0,False
ORD-100031,2023-02-15,Lagos,South-West,Jiji,Beauty,Neutrogena Body Lotion,20524.32,1,0,20524.32,Pay on Delivery,25.0,Female,Premium,5.0,12.0,True
ORD-100032,2023-02-16,Rivers,South-South,Konga,Electronics,Hisense Chest Freezer,181860.4,2,20,290976.64,POS,,Female,Regular,2.0,999.0,False
ORD-100033,2023-02-18,Abuja,North-Central,Jiji,Electronics,"Samsung Smart TV 55""",37503.76,2,5,71257.14,Pay on Delivery,28.0,Male,New,5.0,1.0,False
ORD-100034,2023-02-19,Delta,South-South,Jiji,Groceries,Golden Penny Rice 25kg,3539.36,1,15,3008.46,POS,58.0,Female,Regular,5.0,5.0,False
ORD-100035,2023-02-21,Oyo,South-West,WhatsApp Commerce,Phones & Tablets,Infinix Hot 40 Pro,415560.64,5,0,2077803.2,Bank Transfer,64.0,Male,Premium,4.0,6.0,False
ORD-100036,2023-02-22,Rivers,South-South,Jiji,Beauty,Dark & Lovely Relaxer,18228.9,1,20,14583.12,POS,45.0,Female,Regular,2.0,6.0,False
ORD-100037,2023-02-24,Lagos,South-West,Flutterwave Store,Sports,Adidas Running Sneakers,15469.71,1,10,13922.74,Card,60.0,Female,Premium,1.0,13.0,False
ORD-100038,2023-02-25,Lagos,South-West,Jiji,Furniture,Computer Work Desk,91508.81,3,0,274526.43,Card,21.0,Female,Premium,1.0,5.0,False
ORD-100039,2023-02-27,Kano,North-West,Konga,Fashion,Men Native Senator,13706.56,1,0,13706.56,Card,32.0,Female,Regular,3.0,3.0,False
ORD-100040,2023-02-28,Kano,North-West,Jiji,Sports,Adidas Running Sneakers,34180.31,1,0,34180.31,USSD,60.0,Male,VIP,1.0,5.0,False
ORD-100041,2023-03-01,Kaduna,North-West,Jumia,Fashion,Female Gele Headtie,33617.84,1,0,33617.84,USSD,34.0,Female,New,4.0,12.0,True
ORD-100042,2023-03-03,Abuja,North-Central,Konga,Groceries,Titus Sardine 50pcs,2380.48,2,0,4760.96,USSD,57.0,Female,VIP,5.0,8.0,False
ORD-100043,2023-03-04,Enugu,South-East,Jumia,Fashion,Female Aso-Oke,29406.67,1,0,29406.67,POS,50.0,Male,VIP,5.0,2.0,True
ORD-100044,2023-03-06,Rivers,South-South,Konga,Electronics,Hisense Chest Freezer,180581.74,4,15,613977.92,USSD,61.0,Male,Regular,5.0,6.0,False
ORD-100045,2023-03-07,Rivers,South-South,Flutterwave Store,Beauty,Maybelline Mascara,14673.72,4,5,55760.14,Bank Transfer,41.0,Female,New,2.0,9.0,True
ORD-100046,2023-03-09,Enugu,South-East,Flutterwave Store,Furniture,Computer Work Desk,423100.81,5,0,2115504.05,Card,20.0,Male,New,1.0,8.0,False
ORD-100047,2023-03-10,Kaduna,North-West,Flutterwave Store,Books,Nigerian Law Reports Vol 12,5567.32,4,0,22269.28,POS,44.0,Male,VIP,4.0,11.0,False
ORD-100048,2023-03-12,Delta,South-South,Jumia,Fashion,Men Agbada Set,35263.73,1,0,35263.73,Card,52.0,Male,Regular,2.0,8.0,False
ORD-100049,2023-03-13,Delta,South-South,WhatsApp Commerce,Sports,Kettlebell 20kg,52378.22,1,0,52378.22,USSD,35.0,Female,New,3.0,8.0,False
ORD-100050,2023-03-15,Kaduna,North-West,Konga,Electronics,Scanfrost Refrigerator,133546.91,4,0,534187.64,POS,64.0,Male,VIP,4.0,13.0,False
ORD-100051,2023-03-16,Delta,South-South,Flutterwave Store,Books,WAEC Past Questions 2024,11553.17,2,10,20795.71,Pay on Delivery,36.0,Female,New,4.0,7.0,False
ORD-100052,2023-03-18,Kano,North-West,Konga,Furniture,Computer Work Desk,112576.19,3,15,287069.28,Bank Transfer,25.0,Female,Regular,4.0,8.0,False
ORD-100053,2023-03-19,Rivers,South-South,Jumia,Books,WAEC Past Questions 2024,2175.64,2,0,4351.28,USSD,20.0,Female,Regular,5.0,13.0,False
ORD-100054,2023-03-20,Kaduna,North-West,WhatsApp Commerce,Electronics,"Samsung Smart TV 55""",273280.29,4,5,1038465.1,USSD,51.0,Female,Regular,4.0,6.0,False
ORD-100055,2023-03-22,Rivers,South-South,Jumia,Beauty,Dark & Lovely Relaxer,2451.64,5,20,9806.56,Bank Transfer,21.0,Male,New,1.0,2.0,True
ORD-100056,2023-03-23,Enugu,South-East,Konga,Beauty,Maybelline Mascara,21057.31,3,15,53696.14,Bank Transfer,41.0,Female,Premium,4.0,2.0,False
ORD-100057,2023-03-25,Lagos,South-West,WhatsApp Commerce,Phones & Tablets,Xiaomi Redmi Note 13,369452.95,2,0,738905.9,Pay on Delivery,,Male,New,5.0,8.0,False
ORD-100058,2023-03-26,Kano,North-West,WhatsApp Commerce,Beauty,MAC Foundation Stick,22955.43,2,15,39024.23,USSD,54.0,Female,Premium,4.0,11.0,False
ORD-100059,2023-03-28,Oyo,South-West,Jumia,Phones & Tablets,Infinix Hot 40 Pro,586972.64,5,15,2494633.72,USSD,54.0,Male,Regular,3.0,1.0,False
ORD-100060,2023-03-29,Kano,North-West,Flutterwave Store,Books,WAEC Past Questions 2024,7792.37,1,15,6623.51,Card,50.0,Female,VIP,3.0,6.0,False
ORD-100061,2023-03-31,Kaduna,North-West,Konga,Groceries,Golden Penny Rice 25kg,7619.8,1,10,6857.82,POS,16.0,Male,Premium,5.0,13.0,False
ORD-100062,2023-04-01,Oyo,South-West,Jiji,Sports,Football Jersey Nigeria,49407.98,2,5,93875.16,POS,39.0,Female,Regular,1.0,6.0,False
ORD-100063,2023-04-03,Lagos,South-West,Jiji,Sports,Kettlebell 20kg,114628.17,4,0,458512.68,Card,51.0,Female,Regular,1.0,11.0,False
ORD-100064,2023-04-04,Kaduna,North-West,Jumia,Books,JAMB CBT Practice Book,2658.01,5,0,13290.05,POS,21.0,Male,Premium,2.0,4.0,True
ORD-100065,2023-04-06,Abuja,North-Central,Konga,Fashion,Men Agbada Set,23059.59,1,0,23059.59,Bank Transfer,56.0,Female,VIP,5.0,12.0,False
ORD-100066,2023-04-07,Rivers,South-South,Konga,Fashion,Female Aso-Oke,13971.23,2,15,23751.09,POS,61.0,Female,Regular,4.0,11.0,True
ORD-100067,2023-04-09,Lagos,South-West,Jumia,Beauty,Dark & Lovely Relaxer,13864.2,1,0,13864.2,POS,59.0,Female,Premium,5.0,13.0,False
ORD-100068,2023-04-10,Rivers,South-South,Konga,Sports,Kettlebell 20kg,21955.62,4,10,79040.23,Card,46.0,Male,VIP,2.0,11.0,False
ORD-100069,2023-04-11,Delta,South-South,Flutterwave Store,Sports,Football Jersey Nigeria,101458.97,5,10,456565.36,Pay on Delivery,35.0,Female,VIP,,13.0,False
ORD-100070,2023-04-13,Abuja,North-Central,Jumia,Phones & Tablets,Infinix Hot 40 Pro,682502.0,2,0,1365004.0,POS,39.0,Female,Regular,5.0,10.0,False
ORD-100071,2023-04-14,Abuja,North-Central,Flutterwave Store,Groceries,Honeywell Flour 10kg,7664.27,5,10,34489.22,POS,40.0,Male,New,2.0,3.0,False
ORD-100072,2023-04-16,Lagos,South-West,Konga,Electronics,Hisense Chest Freezer,66815.17,3,0,200445.51,Pay on Delivery,51.0,Male,New,1.0,13.0,False
ORD-100073,2023-04-17,Abuja,North-Central,Jumia,Fashion,Female Aso-Oke,28991.63,2,5,55084.1,Card,36.0,Male,Regular,4.0,11.0,False
ORD-100074,2023-04-19,Oyo,South-West,Konga,Sports,Adidas Running Sneakers,58485.77,4,0,233943.08,Pay on Delivery,45.0,Male,VIP,2.0,3.0,True
ORD-100075,2023-04-20,Abuja,North-Central,Jumia,Phones & Tablets,Infinix Hot 40 Pro,298453.56,3,20,716288.54,Card,39.0,Male,Regular,3.0,13.0,False
ORD-100076,2023-04-22,Rivers,South-South,Konga,Furniture,Computer Work Desk,191981.58,4,5,729530.0,Bank Transfer,59.0,Female,Premium,1.0,13.0,False
ORD-100077,2023-04-23,Rivers,South-South,Flutterwave Store,Phones & Tablets,Xiaomi Redmi Note 13,350787.07,1,10,315708.36,Card,57.0,Female,New,3.0,1.0,False
ORD-100078,2023-04-25,Kaduna,North-West,Flutterwave Store,Fashion,Men Agbada Set,32459.34,1,5,30836.37,Bank Transfer,45.0,Female,Premium,1.0,3.0,False
ORD-100079,2023-04-26,Rivers,South-South,Konga,Fashion,Female Aso-Oke,27927.16,4,5,106123.21,Bank Transfer,37.0,Male,Regular,4.0,4.0,False
ORD-100080,2023-04-28,Kaduna,North-West,Jumia,Phones & Tablets,Samsung Galaxy A55,386656.36,4,5,1469294.17,Card,43.0,Female,Regular,4.0,11.0,False
ORD-100081,2023-04-29,Rivers,South-South,Jiji,Electronics,Sony Home Theatre,40437.69,1,10,36393.92,USSD,22.0,Male,VIP,5.0,11.0,False
ORD-100082,2023-04-30,Oyo,South-West,Flutterwave Store,Books,JAMB CBT Practice Book,2039.87,1,20,1631.9,Card,50.0,Male,VIP,3.0,5.0,True
ORD-100083,2023-05-02,Enugu,South-East,Flutterwave Store,Fashion,Men Agbada Set,2599.42,1,15,2209.51,POS,43.0,Female,VIP,1.0,3.0,True
ORD-100084,2023-05-03,Kaduna,North-West,Jiji,Phones & Tablets,Tecno Spark 20 Pro,775290.03,3,5,2209576.59,POS,29.0,Male,Premium,4.0,6.0,True
ORD-100085,2023-05-05,Kano,North-West,Konga,Sports,Kettlebell 20kg,3614.7,1,0,3614.7,USSD,25.0,Male,VIP,2.0,11.0,False
ORD-100086,2023-05-06,Delta,South-South,Jumia,Phones & Tablets,Samsung Galaxy A55,113866.72,1,10,102480.05,Bank Transfer,31.0,Female,Regular,4.0,12.0,False
ORD-100087,2023-05-08,Lagos,South-West,Konga,Groceries,Indomie Noodles Carton,2859.47,1,5,2716.5,USSD,31.0,Male,VIP,2.0,5.0,False
ORD-100088,2023-05-09,Rivers,South-South,WhatsApp Commerce,Books,JAMB CBT Practice Book,9920.25,1,20,7936.2,POS,46.0,Male,New,1.0,3.0,False
ORD-100089,2023-05-11,Abuja,North-Central,Flutterwave Store,Furniture,Wardrobe 4-Door Mahogany,481996.92,5,15,2048486.91,USSD,57.0,Female,VIP,4.0,6.0,False
ORD-100090,2023-05-12,Enugu,South-East,WhatsApp Commerce,Electronics,"Samsung Smart TV 55""",279654.54,4,10,1006756.34,Card,40.0,Male,Premium,4.0,6.0,False
ORD-100091,2023-05-14,Rivers,South-South,Flutterwave Store,Beauty,Neutrogena Body Lotion,17511.56,5,0,87557.8,USSD,28.0,Male,New,1.0,8.0,False
ORD-100092,2023-05-15,Abuja,North-Central,Flutterwave Store,Furniture,Wardrobe 4-Door Mahogany,272617.82,1,15,231725.15,Bank Transfer,21.0,Female,New,4.0,2.0,False
ORD-100093,2023-05-17,Delta,South-South,WhatsApp Commerce,Books,JAMB CBT Practice Book,2136.42,2,0,4272.84,Card,,Female,New,2.0,1.0,False
ORD-100094,2023-05-18,Delta,South-South,WhatsApp Commerce,Books,ICAN Study Pack,11548.24,1,5,10970.83,Pay on Delivery,24.0,Female,Premium,,4.0,False
ORD-100095,2023-05-19,Delta,South-South,Konga,Books,WAEC Past Questions 2024,9390.64,5,20,37562.56,POS,60.0,Female,Regular,3.0,7.0,False
ORD-100096,2023-05-21,Abuja,North-Central,WhatsApp Commerce,Furniture,Computer Work Desk,328500.96,1,0,328500.96,POS,51.0,Male,VIP,5.0,11.0,False
ORD-100097,2023-05-22,Rivers,South-South,Konga,Sports,Yoga Mat Non-Slip,91807.19,3,20,220337.26,USSD,58.0,Male,New,2.0,10.0,False
ORD-100098,2023-05-24,Delta,South-South,Konga,Books,ACCA F3 Textbook,9020.32,2,0,18040.64,Card,35.0,Female,New,3.0,3.0,True
ORD-100099,2023-05-25,Oyo,South-West,Konga,Phones & Tablets,Tecno Spark 20 Pro,522482.16,1,10,470233.94,Pay on Delivery,33.0,Male,New,1.0,3.0,False
ORD-100100,2023-05-27,Kaduna,North-West,Flutterwave Store,Furniture,6ft Orthopedic Mattress,490773.98,1,0,490773.98,Card,58.0,Male,Regular,2.0,5.0,True
ORD-100101,2023-05-28,Abuja,North-Central,Flutterwave Store,Beauty,Nivea Fair & Lovely,22661.4,1,0,22661.4,POS,36.0,Female,Regular,5.0,5.0,False
ORD-100102,2023-05-30,Abuja,North-Central,WhatsApp Commerce,Books,WAEC Past Questions 2024,8183.98,4,0,32735.92,Card,19.0,Female,Premium,5.0,13.0,False
ORD-100103,2023-05-31,Rivers,South-South,Flutterwave Store,Phones & Tablets,iPhone 15 128GB,565279.04,5,0,2826395.2,Pay on Delivery,48.0,Male,Regular,1.0,10.0,False
ORD-100104,2023-06-02,Abuja,North-Central,WhatsApp Commerce,Sports,Football Jersey Nigeria,9036.71,3,0,27110.13,USSD,42.0,Female,VIP,1.0,3.0,False
ORD-100105,2023-06-03,Abuja,North-Central,Flutterwave Store,Groceries,Titus Sardine 50pcs,5524.38,2,15,9391.45,Bank Transfer,22.0,Female,Premium,2.0,9.0,False
ORD-100106,2023-06-05,Delta,South-South,Jumia,Sports,Kettlebell 20kg,8167.36,5,0,40836.8,Card,21.0,Female,Premium,4.0,4.0,False
ORD-100107,2023-06-06,Rivers,South-South,Jumia,Beauty,Maybelline Mascara,15035.98,2,0,30071.96,Bank Transfer,30.0,Male,VIP,1.0,13.0,False
ORD-100108,2023-06-07,Delta,South-South,WhatsApp Commerce,Books,JAMB CBT Practice Book,11993.02,1,10,10793.72,POS,33.0,Female,VIP,4.0,13.0,False
ORD-100109,2023-06-09,Kaduna,North-West,Flutterwave Store,Beauty,Maybelline Mascara,14250.52,1,20,11400.42,USSD,,Male,VIP,3.0,3.0,False
ORD-100110,2023-06-10,Enugu,South-East,Flutterwave Store,Furniture,Glass Centre Table,249774.81,3,20,599459.54,USSD,26.0,Male,Premium,5.0,11.0,False
ORD-100111,2023-06-12,Kaduna,North-West,Konga,Fashion,Female Aso-Oke,15796.33,2,0,31592.66,Card,35.0,Male,Premium,4.0,2.0,False
ORD-100112,2023-06-13,Enugu,South-East,Jiji,Books,ICAN Study Pack,2501.64,1,20,2001.31,USSD,39.0,Female,Premium,5.0,10.0,False
ORD-100113,2023-06-15,Delta,South-South,WhatsApp Commerce,Fashion,Female Aso-Oke,33568.51,1,0,33568.51,Card,30.0,Female,VIP,4.0,13.0,False
ORD-100114,2023-06-16,Kaduna,North-West,Jiji,Phones & Tablets,Infinix Hot 40 Pro,182338.26,5,0,911691.3,Card,63.0,Female,VIP,3.0,11.0,False
ORD-100115,2023-06-18,Rivers,South-South,Jiji,Groceries,Indomie Noodles Carton,1364.62,3,0,4093.86,Bank Transfer,22.0,Female,New,1.0,9.0,False
ORD-100116,2023-06-19,Lagos,South-West,WhatsApp Commerce,Electronics,Sony Home Theatre,156290.49,4,10,562645.76,USSD,36.0,Female,Regular,3.0,4.0,False
ORD-100117,2023-06-21,Delta,South-South,Flutterwave Store,Beauty,MAC Foundation Stick,20047.27,1,0,20047.27,Card,57.0,Male,New,1.0,3.0,False
ORD-100118,2023-06-22,Enugu,South-East,WhatsApp Commerce,Sports,Adidas Running Sneakers,90172.55,1,5,85663.92,Bank Transfer,41.0,Male,VIP,1.0,7.0,False
ORD-100119,2023-06-24,Oyo,South-West,Jiji,Groceries,Indomie Noodles Carton,911.62,1,15,774.88,Pay on Delivery,,Male,Premium,5.0,8.0,False
ORD-100120,2023-06-25,Enugu,South-East,Flutterwave Store,Books,ICAN Study Pack,6115.55,1,15,5198.22,Bank Transfer,29.0,Female,VIP,3.0,11.0,False
ORD-100121,2023-06-27,Oyo,South-West,Jumia,Fashion,Female Aso-Oke,24703.47,5,0,123517.35,Bank Transfer,52.0,Male,Regular,4.0,2.0,False
ORD-100122,2023-06-28,Abuja,North-Central,WhatsApp Commerce,Sports,Yoga Mat Non-Slip,78411.96,2,20,125459.14,Card,36.0,Male,New,3.0,7.0,True
ORD-100123,2023-06-29,Kaduna,North-West,WhatsApp Commerce,Fashion,Men Agbada Set,30132.11,1,5,28625.5,POS,33.0,Female,New,5.0,12.0,False
ORD-100124,2023-07-01,Oyo,South-West,Flutterwave Store,Furniture,Computer Work Desk,198231.19,2,0,396462.38,POS,20.0,Female,Premium,1.0,5.0,False
ORD-100125,2023-07-02,Enugu,South-East,Jumia,Fashion,Men Agbada Set,26328.78,2,5,50024.68,POS,18.0,Male,New,5.0,11.0,False
ORD-100126,2023-07-04,Abuja,North-Central,Jumia,Furniture,Glass Centre Table,253504.39,4,5,963316.68,Bank Transfer,38.0,Male,New,2.0,5.0,False
ORD-100127,2023-07-05,Lagos,South-West,Flutterwave Store,Phones & Tablets,Samsung Galaxy A55,712023.74,1,20,569618.99,Card,41.0,Female,VIP,2.0,3.0,True
ORD-100128,2023-07-07,Rivers,South-South,Konga,Sports,Yoga Mat Non-Slip,65041.02,1,0,65041.02,USSD,52.0,Female,New,4.0,5.0,False
ORD-100129,2023-07-08,Rivers,South-South,WhatsApp Commerce,Sports,Yoga Mat Non-Slip,54600.76,2,10,98281.37,Bank Transfer,39.0,Female,New,5.0,12.0,False
ORD-100130,2023-07-10,Rivers,South-South,WhatsApp Commerce,Electronics,LG Air Conditioner 1.5HP,150502.63,1,20,120402.1,Bank Transfer,64.0,Female,New,4.0,2.0,False
ORD-100131,2023-07-11,Oyo,South-West,Jiji,Books,ACCA F3 Textbook,7382.22,2,5,14026.22,Card,34.0,Male,Premium,4.0,4.0,False
ORD-100132,2023-07-13,Lagos,South-West,Flutterwave Store,Furniture,L-Shape Office Sofa,406889.07,3,5,1159633.85,Pay on Delivery,40.0,Male,Premium,2.0,6.0,True
ORD-100133,2023-07-14,Oyo,South-West,Jiji,Electronics,Hisense Chest Freezer,195364.5,3,10,527484.15,Bank Transfer,36.0,Female,VIP,4.0,1.0,False
ORD-100134,2023-07-16,Kaduna,North-West,Jiji,Fashion,Female Gele Headtie,30620.34,2,5,58178.65,Pay on Delivery,27.0,Male,New,2.0,10.0,False
ORD-100135,2023-07-17,Oyo,South-West,Jumia,Fashion,Ankara Midi Dress,33858.87,3,5,96497.78,Pay on Delivery,56.0,Male,Premium,1.0,4.0,False
ORD-100136,2023-07-18,Lagos,South-West,WhatsApp Commerce,Electronics,Hisense Chest Freezer,189256.32,1,5,179793.5,POS,48.0,Female,Premium,5.0,6.0,False
ORD-100137,2023-07-20,Lagos,South-West,Jiji,Sports,Adidas Running Sneakers,52937.6,3,15,134990.88,Card,19.0,Male,VIP,4.0,9.0,False
ORD-100138,2023-07-21,Kaduna,North-West,Jumia,Fashion,Men Native Senator,39758.28,1,20,31806.62,Pay on Delivery,57.0,Male,Regular,2.0,11.0,False
ORD-100139,2023-07-23,Lagos,South-West,Flutterwave Store,Beauty,Nivea Fair & Lovely,10903.65,1,0,10903.65,Card,22.0,Male,New,3.0,11.0,False
ORD-100140,2023-07-24,Enugu,South-East,Jiji,Phones & Tablets,Tecno Spark 20 Pro,388386.28,2,20,621418.05,POS,37.0,Female,Premium,4.0,13.0,False
ORD-100141,2023-07-26,Lagos,South-West,WhatsApp Commerce,Phones & Tablets,Infinix Hot 40 Pro,792611.1,1,10,713349.99,Card,48.0,Female,VIP,1.0,2.0,False
ORD-100142,2023-07-27,Rivers,South-South,Jiji,Beauty,Nivea Fair & Lovely,805.75,4,5,3061.85,Bank Transfer,32.0,Male,VIP,1.0,11.0,True
ORD-100143,2023-07-29,Enugu,South-East,Flutterwave Store,Electronics,Hisense Chest Freezer,77133.42,1,20,61706.74,Pay on Delivery,39.0,Female,VIP,,7.0,False
ORD-100144,2023-07-30,Enugu,South-East,Jiji,Beauty,Dark & Lovely Relaxer,10091.93,2,15,17156.28,Card,49.0,Female,Premium,2.0,6.0,False
ORD-100145,2023-08-01,Kaduna,North-West,WhatsApp Commerce,Furniture,6ft Orthopedic Mattress,467980.21,1,10,421182.19,USSD,43.0,Female,New,4.0,2.0,False
ORD-100146,2023-08-02,Kano,North-West,Jumia,Furniture,L-Shape Office Sofa,58264.11,1,0,58264.11,Card,58.0,Male,Regular,2.0,8.0,True
ORD-100147,2023-08-04,Kano,North-West,WhatsApp Commerce,Electronics,"Samsung Smart TV 55""",18177.62,5,20,72710.48,Pay on Delivery,56.0,Male,New,1.0,7.0,False
ORD-100148,2023-08-05,Lagos,South-West,Jumia,Beauty,Neutrogena Body Lotion,2074.95,3,0,6224.85,POS,54.0,Female,VIP,2.0,11.0,False
ORD-100149,2023-08-06,Enugu,South-East,Konga,Furniture,Glass Centre Table,67058.12,3,5,191115.64,POS,,Male,VIP,1.0,5.0,False
ORD-100150,2023-08-08,Kano,North-West,WhatsApp Commerce,Sports,Yoga Mat Non-Slip,7398.82,4,15,25155.99,Pay on Delivery,64.0,Male,Regular,2.0,12.0,False
ORD-100151,2023-08-09,Kano,North-West,WhatsApp Commerce,Beauty,Neutrogena Body Lotion,12410.71,1,15,10549.1,Bank Transfer,32.0,Male,New,3.0,5.0,True
ORD-100152,2023-08-11,Lagos,South-West,Flutterwave Store,Sports,Kettlebell 20kg,70948.59,2,20,113517.74,Bank Transfer,49.0,Male,VIP,5.0,7.0,False
ORD-100153,2023-08-12,Kano,North-West,Jiji,Furniture,Wardrobe 4-Door Mahogany,154051.31,4,10,554584.72,POS,21.0,Male,VIP,3.0,999.0,True
ORD-100154,2023-08-14,Oyo,South-West,Jumia,Phones & Tablets,Infinix Hot 40 Pro,339689.85,1,10,305720.86,POS,61.0,Female,New,3.0,11.0,False
ORD-100155,2023-08-15,Abuja,North-Central,Jumia,Furniture,6ft Orthopedic Mattress,68557.18,2,15,116547.21,Pay on Delivery,21.0,Male,VIP,5.0,9.0,True
ORD-100156,2023-08-17,Kaduna,North-West,Flutterwave Store,Sports,Treadmill Manual,42355.34,1,10,38119.81,Bank Transfer,49.0,Male,New,5.0,9.0,True
ORD-100157,2023-08-18,Abuja,North-Central,Flutterwave Store,Groceries,Titus Sardine 50pcs,4418.89,4,15,15024.23,POS,16.0,Male,VIP,4.0,6.0,False
ORD-100158,2023-08-20,Lagos,South-West,Jiji,Books,ACCA F3 Textbook,9108.54,4,20,29147.33,Bank Transfer,,Female,New,4.0,10.0,True
ORD-100159,2023-08-21,Rivers,South-South,Jiji,Fashion,Men Agbada Set,2642.22,2,0,5284.44,POS,36.0,Female,Regular,3.0,6.0,False
